,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
36,low,high,low,medium,high,low,medium,medium,medium,low,medium,5
37,medium,high,medium,low,high,medium,medium,low,medium,low,high,6
38,high,medium,high,high,high,high,medium,high,medium,low,low,5
39,high,medium,high,high,high,high,medium,high,medium,low,low,5
40,medium,low,high,medium,high,high,high,medium,low,low,low,6
41,medium,medium,high,medium,high,high,high,medium,low,low,low,6
42,medium,high,low,medium,high,medium,high,high,medium,medium,medium,6
43,medium,medium,low,low,high,medium,medium,medium,medium,high,low,6
44,medium,low,low,low,high,medium,medium,medium,medium,high,low,6
45,high,low,medium,low,high,medium,high,medium,medium,high,medium,7
46,low,high,low,medium,high,high,high,medium,high,medium,medium,4
47,low,high,low,medium,high,high,high,medium,high,medium,medium,5
48,medium,high,low,medium,high,medium,high,high,medium,medium,medium,6
49,medium,low,medium,medium,high,medium,medium,medium,high,medium,medium,5
50,high,low,medium,low,high,medium,high,low,high,medium,high,6
51,medium,medium,medium,low,high,medium,medium,low,high,high,medium,7
52,low,low,medium,low,high,low,low,low,high,medium,medium,7
53,low,low,medium,low,medium,medium,low,low,high,low,medium,6
54,medium,low,high,low,high,medium,medium,medium,low,low,low,6
55,medium,medium,medium,low,medium,medium,high,low,medium,medium,medium,6
56,high,low,medium,high,medium,medium,high,high,low,medium,low,6
57,low,low,low,high,medium,high,medium,high,high,low,low,6
58,medium,high,low,medium,medium,low,low,medium,low,low,medium,6
59,high,low,medium,low,low,high,low,medium,high,low,medium,6
60,medium,low,low,medium,high,medium,medium,medium,low,medium,low,6
61,low,low,low,high,medium,high,medium,high,high,low,low,6
62,medium,high,low,low,low,low,medium,low,low,low,medium,5
63,medium,high,low,medium,medium,low,low,medium,low,low,medium,6
64,high,medium,low,low,low,medium,medium,medium,medium,medium,medium,6
65,low,high,low,low,high,medium,medium,medium,medium,high,low,5
66,low,medium,low,medium,medium,low,medium,low,medium,medium,high,7
67,medium,medium,low,low,medium,high,high,low,medium,low,medium,5
68,medium,low,medium,low,medium,medium,low,medium,high,high,medium,8
69,high,medium,medium,high,high,low,low,high,medium,low,low,5
70,low,medium,high,medium,high,high,high,high,low,medium,low,6
71,medium,medium,low,medium,high,high,high,high,high,high,low,5
72,low,medium,low,medium,high,medium,high,high,high,high,medium,5
73,high,low,high,low,high,low,low,medium,low,medium,low,6
74,medium,low,medium,low,medium,medium,low,medium,high,high,medium,8
75,high,medium,medium,high,high,low,low,high,medium,low,low,5
76,medium,low,medium,low,medium,medium,low,low,high,low,high,7
77,medium,high,medium,low,medium,low,low,low,high,high,high,7
78,high,low,medium,high,high,low,low,high,low,high,low,5
79,medium,high,low,medium,high,low,low,medium,high,low,low,5
80,medium,low,medium,low,high,medium,low,medium,high,high,medium,6
81,medium,low,medium,high,high,high,high,high,medium,high,low,6
82,medium,high,low,medium,high,high,high,medium,medium,low,medium,5
83,high,low,medium,high,medium,high,high,high,high,medium,low,6
84,medium,high,high,high,medium,high,medium,high,low,medium,low,5
85,medium,high,high,high,medium,high,medium,high,low,medium,low,6
86,high,high,high,high,medium,high,high,high,low,medium,low,6
87,medium,medium,medium,high,high,high,high,high,medium,medium,low,6
88,medium,high,high,high,medium,high,medium,high,low,medium,low,5
89,medium,high,high,high,medium,high,medium,high,low,medium,low,6
90,high,high,high,high,medium,high,high,high,low,medium,low,6
91,low,medium,high,medium,high,high,high,high,low,medium,low,5
92,medium,medium,medium,low,low,high,medium,low,high,low,high,7
93,medium,low,medium,low,low,high,medium,low,high,low,high,7
94,high,low,medium,low,medium,high,medium,low,medium,medium,high,7
95,medium,medium,medium,high,medium,high,high,high,low,low,low,6
96,low,high,high,high,medium,low,high,high,medium,medium,low,6
97,high,medium,medium,low,low,low,low,low,low,low,high,7
98,high,high,high,high,low,low,low,high,low,low,medium,4
99,low,high,high,high,medium,low,high,high,medium,medium,low,6
100,high,medium,high,high,high,high,high,high,low,medium,low,5
101,medium,low,medium,high,high,high,high,high,high,low,low,5
102,low,low,low,high,high,high,high,high,high,low,low,5
103,high,high,high,high,high,high,high,high,low,medium,low,5
104,high,medium,high,high,high,high,high,high,low,medium,low,5
105,high,low,medium,high,high,medium,low,high,medium,low,low,6
106,medium,low,medium,high,high,high,high,high,high,low,low,5
107,medium,low,medium,high,medium,high,high,high,medium,high,low,6
108,medium,low,medium,high,medium,high,high,high,medium,high,low,6
109,medium,high,low,low,high,medium,high,medium,high,high,medium,5
110,low,low,high,high,high,high,high,high,low,low,low,6
111,high,medium,high,high,high,high,high,high,low,medium,low,5
112,high,high,high,high,high,high,high,high,low,medium,low,5
113,medium,high,medium,high,high,medium,medium,high,medium,medium,low,5
114,medium,high,medium,high,high,medium,medium,high,medium,medium,low,5
115,low,high,low,low,high,low,low,medium,high,low,low,4
116,low,high,low,medium,medium,low,medium,low,high,medium,high,6
117,medium,low,high,low,low,low,low,low,medium,low,high,6
118,high,high,high,high,high,high,high,high,low,medium,low,5
119,high,high,high,high,high,high,high,high,low,medium,low,5
120,low,high,low,medium,medium,low,low,medium,medium,medium,medium,5
121,high,medium,medium,high,high,high,medium,high,low,high,low,5
122,high,low,medium,medium,high,medium,medium,medium,high,low,low,5
123,medium,low,low,medium,high,low,medium,medium,high,low,low,6
124,low,low,high,low,high,medium,high,medium,medium,low,medium,6
125,medium,low,medium,low,low,high,medium,low,high,medium,medium,6
126,high,high,low,medium,low,medium,medium,medium,medium,low,medium,5
127,low,medium,medium,medium,low,high,high,high,high,high,low,7
128,low,medium,high,medium,medium,high,high,low,high,high,medium,7
129,low,medium,high,medium,medium,high,high,low,high,high,medium,6
130,low,medium,low,high,low,low,low,medium,high,low,medium,5
131,low,medium,medium,medium,low,high,high,high,high,high,low,7
132,low,high,high,high,low,high,high,high,medium,high,low,5
133,medium,medium,low,high,low,high,high,high,medium,medium,low,5
134,medium,medium,low,high,low,high,high,high,medium,medium,low,5
135,medium,medium,medium,high,low,high,high,high,high,high,low,5
136,high,low,high,low,low,medium,medium,low,low,low,medium,6
137,medium,high,high,high,medium,high,medium,high,medium,medium,low,5
138,medium,low,medium,low,low,medium,low,low,medium,high,medium,7
139,high,medium,high,low,low,low,low,low,medium,medium,high,6
140,low,high,medium,low,medium,low,low,medium,high,low,medium,5
141,medium,high,high,high,medium,high,medium,high,medium,medium,low,5
142,high,low,high,low,medium,medium,low,low,medium,high,medium,6
143,high,low,high,medium,low,low,low,medium,medium,high,low,6
144,high,low,high,low,low,low,low,low,low,high,high,6
145,low,medium,high,low,medium,medium,low,low,low,low,medium,6
146,low,low,low,low,medium,high,high,low,high,low,medium,6
147,low,high,low,medium,high,low,low,medium,high,low,low,4
148,low,high,medium,medium,low,low,low,low,high,high,high,7
149,medium,medium,medium,medium,high,low,low,medium,low,low,low,6
150,high,low,high,medium,medium,high,medium,medium,low,low,high,7
151,high,low,high,high,high,high,medium,high,medium,low,medium,6
152,medium,medium,medium,medium,high,low,low,medium,low,low,low,6
153,high,low,high,low,medium,medium,low,low,medium,medium,medium,5
154,high,low,high,medium,high,low,low,high,low,high,low,6
155,high,medium,high,high,high,high,high,high,low,low,low,6
156,high,medium,high,high,high,high,high,high,low,low,low,6
157,low,high,low,low,low,medium,medium,low,high,low,high,7
158,low,high,low,low,low,high,medium,low,high,low,high,8
159,low,high,low,low,low,high,medium,low,high,low,high,8
160,low,high,low,low,low,medium,medium,low,high,low,high,7
161,low,low,high,high,high,low,high,high,low,low,low,5
162,low,high,medium,medium,high,low,low,medium,high,low,medium,5
163,high,medium,high,high,high,high,high,high,low,low,low,6
164,medium,medium,medium,high,high,high,high,high,medium,medium,low,5
165,medium,low,medium,high,high,high,high,high,medium,medium,medium,5
166,high,medium,high,high,medium,medium,high,high,medium,high,low,6
167,medium,high,low,medium,low,low,low,low,low,medium,high,7
168,high,medium,medium,high,high,low,medium,high,low,high,low,5
169,high,high,high,high,low,low,low,high,low,low,medium,5
170,medium,medium,high,low,high,medium,medium,low,low,high,high,6
171,high,low,high,low,medium,low,low,low,medium,low,medium,6
172,high,high,high,low,low,low,low,low,low,low,high,4
173,low,low,high,medium,low,medium,medium,low,high,low,high,7
174,high,medium,medium,high,high,medium,high,high,low,high,medium,5
175,medium,low,high,medium,medium,high,medium,medium,low,low,high,6
176,high,high,high,medium,medium,low,low,low,low,low,high,4
177,low,low,medium,high,high,high,high,high,high,low,low,5
178,low,high,low,low,high,low,low,medium,low,low,low,4
179,low,medium,medium,medium,high,medium,high,medium,medium,high,low,6
180,low,high,medium,medium,medium,high,high,medium,medium,high,low,6
181,medium,high,low,low,high,high,high,medium,low,low,low,5
182,medium,medium,high,high,medium,high,high,high,low,medium,low,5
183,medium,medium,high,high,high,high,high,high,medium,high,low,6
184,medium,medium,high,high,medium,high,high,high,low,high,low,5
185,medium,medium,high,high,medium,high,high,high,low,high,low,5
186,medium,medium,high,high,medium,high,high,high,low,high,medium,6
187,low,medium,low,medium,low,high,medium,low,medium,medium,medium,5
188,medium,high,medium,medium,low,low,low,low,high,high,high,8
189,low,medium,low,high,medium,high,high,high,low,high,low,4
190,medium,medium,low,high,high,high,high,high,low,high,low,6
191,medium,medium,high,high,medium,high,high,high,low,medium,low,5
192,medium,medium,medium,medium,medium,medium,medium,medium,low,low,high,6
193,medium,low,medium,medium,high,medium,medium,medium,high,low,low,5
194,low,medium,high,medium,high,high,high,medium,low,low,low,5
195,low,medium,high,medium,high,high,high,medium,low,low,low,6
196,low,medium,high,medium,high,high,high,medium,low,low,low,5
197,medium,medium,low,medium,high,high,high,high,medium,medium,low,5
198,medium,high,low,high,high,high,high,high,low,medium,low,5
199,medium,medium,low,medium,high,high,high,high,medium,medium,low,5
200,medium,medium,low,high,high,high,high,high,medium,medium,low,5
201,medium,high,low,high,high,high,high,high,low,medium,low,5
202,medium,high,medium,high,high,high,high,high,medium,medium,low,5
203,medium,medium,medium,high,low,medium,medium,medium,high,high,high,6
204,low,medium,medium,low,high,medium,low,low,high,medium,medium,4
205,low,low,high,high,medium,high,medium,high,medium,low,low,5
206,medium,low,medium,high,medium,medium,medium,high,medium,low,low,5
207,high,high,high,medium,high,low,medium,high,low,medium,medium,4
208,medium,high,medium,low,medium,low,low,medium,high,high,medium,5
209,low,high,medium,low,medium,low,high,medium,medium,high,low,6
210,low,medium,low,high,low,low,low,medium,high,low,medium,5
211,medium,low,high,low,low,medium,low,low,high,high,high,7
212,medium,low,medium,high,medium,medium,medium,high,medium,low,low,5
213,medium,low,medium,medium,high,medium,medium,medium,high,low,low,6
214,low,medium,low,low,low,medium,low,low,high,medium,high,7
215,low,medium,low,high,medium,high,medium,high,high,low,low,5
216,high,medium,medium,medium,low,high,high,medium,low,low,medium,5
217,low,medium,low,high,medium,high,medium,high,high,low,low,5
218,low,medium,low,high,medium,high,high,high,high,medium,low,5
219,high,low,medium,medium,low,high,high,medium,low,low,medium,5
220,high,medium,medium,medium,low,high,high,medium,low,low,medium,5
221,high,high,low,high,high,medium,high,high,low,high,low,6
222,low,medium,low,low,low,medium,low,low,high,medium,high,7
223,low,low,medium,low,medium,medium,medium,medium,high,low,low,6
224,low,high,low,low,medium,medium,medium,medium,high,high,medium,6
225,medium,medium,high,high,medium,medium,medium,high,high,low,low,5
226,low,low,medium,medium,medium,medium,high,medium,high,medium,low,6
227,medium,medium,medium,high,medium,high,high,high,medium,medium,low,6
228,low,low,medium,medium,medium,medium,high,medium,high,medium,low,6
229,medium,medium,high,high,medium,medium,medium,high,high,low,low,5
230,medium,high,low,high,high,low,medium,high,high,medium,low,4
231,high,medium,high,medium,medium,medium,high,high,high,medium,low,6
232,high,medium,high,medium,medium,high,high,high,high,medium,low,6
233,high,low,high,high,high,high,high,high,low,medium,low,6
234,high,low,high,high,high,high,high,high,low,medium,low,6
235,high,low,high,high,high,high,high,high,low,medium,low,6
236,high,low,high,high,high,high,high,high,low,medium,low,6
237,medium,high,medium,high,medium,high,high,high,high,medium,low,6
238,medium,medium,high,low,low,medium,medium,low,high,low,high,7
239,low,medium,low,high,medium,medium,high,high,high,high,low,6
240,high,high,low,high,high,high,high,high,medium,medium,low,5
241,high,high,low,medium,low,low,low,medium,medium,medium,medium,5
242,medium,low,high,medium,low,low,low,low,medium,low,high,7
243,medium,medium,medium,medium,medium,high,high,medium,high,high,low,6
244,medium,high,high,high,medium,medium,medium,high,medium,medium,low,5
245,low,low,medium,low,low,low,high,low,high,high,high,6
246,medium,low,low,low,low,low,medium,low,medium,high,high,7
247,low,low,low,low,low,low,low,low,high,low,medium,7
248,low,low,low,low,low,low,low,low,high,low,medium,7
249,low,high,low,high,low,low,medium,high,high,medium,medium,5
250,low,low,low,medium,high,medium,high,high,high,high,medium,4
251,high,medium,low,high,high,medium,high,high,low,medium,medium,3
252,medium,high,high,high,medium,medium,medium,high,medium,medium,low,5
253,low,medium,high,medium,low,low,low,low,high,low,high,3
254,low,medium,high,low,high,medium,high,medium,medium,medium,low,6
255,medium,medium,high,low,medium,high,medium,medium,high,high,low,8
256,low,high,medium,medium,low,low,low,medium,high,low,medium,7
257,low,high,medium,medium,low,low,low,medium,high,low,medium,7
258,low,low,high,low,low,low,medium,low,high,medium,high,6
259,low,high,high,low,low,low,low,low,high,low,high,4
260,medium,low,medium,medium,medium,medium,low,medium,high,low,medium,6
261,medium,medium,high,high,medium,medium,high,high,low,medium,low,5
262,medium,medium,high,high,low,low,low,medium,medium,low,medium,5
263,high,medium,high,high,medium,high,high,high,low,high,low,6
264,low,medium,medium,low,low,low,high,low,low,medium,medium,6
265,medium,medium,high,high,medium,medium,high,high,low,medium,low,5
266,medium,high,low,high,high,medium,high,high,high,medium,low,6
267,low,high,low,medium,medium,medium,medium,medium,high,high,low,5
268,low,high,low,medium,medium,medium,medium,medium,high,high,low,6
269,low,high,low,medium,medium,medium,medium,medium,high,high,low,6
270,medium,high,low,high,high,medium,high,high,high,medium,low,6
271,low,high,low,medium,medium,medium,medium,medium,high,high,low,5
272,low,medium,low,high,high,high,medium,high,high,low,low,5
273,medium,high,medium,medium,high,medium,medium,medium,medium,low,low,5
274,medium,medium,high,high,medium,high,high,high,low,high,low,5
275,medium,low,high,high,medium,high,high,high,medium,high,medium,6
276,medium,low,high,high,medium,high,high,high,medium,high,medium,6
277,high,medium,high,low,medium,low,low,low,low,medium,medium,5
278,medium,high,medium,low,medium,low,low,low,low,medium,medium,4
279,medium,medium,high,medium,low,low,low,low,high,high,high,7
280,medium,medium,medium,medium,low,low,low,low,medium,low,high,8
281,low,high,high,medium,medium,medium,low,low,high,high,high,8
282,medium,high,high,medium,medium,high,high,medium,low,high,medium,4
283,medium,high,medium,high,high,high,high,high,medium,medium,low,5
284,medium,high,low,high,high,high,high,high,low,medium,low,5
285,high,high,low,medium,high,high,high,high,low,medium,low,5
286,low,medium,medium,high,high,high,high,high,medium,medium,low,6
287,high,low,high,high,high,high,high,high,low,medium,low,7
288,high,low,high,high,high,high,high,high,low,medium,low,7
289,high,low,high,high,high,high,high,high,low,medium,low,7
290,high,low,high,high,high,high,high,high,low,medium,low,7
291,low,low,medium,medium,medium,high,medium,medium,high,medium,medium,6
292,high,medium,high,high,high,high,high,high,low,medium,low,5
293,low,medium,low,medium,medium,low,high,high,high,high,medium,7
294,high,high,high,low,high,medium,high,high,medium,low,low,3
295,low,high,low,low,medium,medium,high,medium,high,high,low,6
296,high,high,high,high,medium,medium,high,high,low,high,low,5
297,high,low,high,medium,medium,high,high,medium,medium,high,high,7
298,high,low,high,high,medium,high,medium,high,medium,medium,medium,6
299,medium,low,high,low,medium,low,medium,low,medium,medium,medium,6
300,low,high,low,low,high,medium,low,low,high,high,medium,6
301,high,low,medium,low,high,low,low,low,medium,low,medium,6
302,low,high,low,low,high,medium,low,low,high,high,medium,6
303,low,medium,low,low,high,high,high,low,high,low,high,6
304,high,high,low,medium,high,medium,high,medium,medium,low,medium,6
305,high,high,low,medium,high,medium,high,medium,medium,low,medium,6
306,high,high,low,medium,high,medium,high,medium,medium,low,medium,5
307,high,high,low,medium,high,medium,high,medium,medium,low,medium,6
308,low,high,low,medium,low,medium,medium,medium,medium,low,medium,7
309,low,high,low,medium,low,medium,medium,medium,medium,low,medium,6
310,low,high,low,low,low,low,low,low,high,high,high,7
311,low,high,low,high,low,medium,high,low,high,medium,high,8
312,high,medium,high,medium,medium,medium,medium,high,high,medium,medium,6
313,low,high,low,medium,low,high,high,medium,high,high,medium,6
314,low,high,low,medium,medium,high,high,medium,high,high,medium,5
315,medium,medium,high,low,high,high,medium,medium,low,medium,low,6
316,medium,medium,medium,medium,low,medium,medium,medium,medium,low,medium,6
317,medium,medium,medium,medium,low,medium,medium,medium,medium,low,medium,5
318,low,medium,high,medium,low,low,medium,medium,high,low,high,7
319,low,low,low,medium,medium,low,low,medium,high,high,medium,6
320,low,low,low,low,medium,low,low,medium,high,high,medium,7
321,medium,medium,medium,medium,low,medium,medium,medium,medium,low,medium,5
322,medium,medium,medium,medium,low,medium,medium,medium,medium,low,medium,6
323,medium,medium,high,high,low,medium,medium,medium,medium,low,medium,6
324,high,high,high,low,medium,low,high,medium,low,high,high,5
325,high,medium,medium,medium,high,high,high,medium,medium,high,medium,5
326,high,medium,high,high,medium,medium,high,high,low,high,medium,6
327,low,high,low,medium,medium,medium,medium,medium,medium,high,medium,6
328,low,medium,medium,high,medium,high,high,high,medium,medium,low,6
329,high,low,high,low,low,medium,low,low,medium,medium,medium,5
330,low,high,medium,medium,low,medium,low,low,high,high,high,8
331,medium,medium,medium,medium,low,medium,medium,medium,medium,low,medium,5
332,low,low,medium,low,low,low,low,low,high,low,high,6
333,low,medium,medium,high,low,medium,medium,high,low,medium,medium,5
334,low,medium,low,medium,low,low,low,low,high,low,medium,5
335,low,low,medium,low,low,low,low,low,high,low,high,6
336,low,low,medium,low,low,low,low,low,high,low,high,6
337,low,medium,low,high,medium,high,high,high,high,low,low,6
338,low,medium,high,low,medium,low,medium,medium,high,high,medium,5
339,medium,low,medium,low,high,high,medium,medium,high,high,medium,7
340,high,low,high,medium,medium,low,medium,high,medium,high,low,7
341,high,medium,medium,low,medium,low,medium,medium,medium,high,medium,6
342,low,medium,high,high,medium,medium,medium,high,medium,medium,low,6
343,low,high,high,medium,high,high,medium,medium,high,high,medium,5
344,low,medium,high,medium,high,high,medium,medium,high,high,medium,6
345,medium,low,medium,medium,high,medium,medium,medium,high,low,low,6
346,low,high,low,low,low,low,low,low,high,medium,high,7
347,medium,low,high,high,high,high,medium,high,medium,medium,low,6
348,high,low,high,high,high,medium,medium,high,medium,medium,medium,6
349,high,low,high,high,high,high,medium,high,medium,medium,medium,5
350,low,low,medium,low,medium,high,medium,low,high,high,high,7
351,high,high,high,medium,low,medium,medium,low,low,low,high,7
352,low,high,medium,medium,high,low,medium,low,medium,medium,low,6
353,high,high,high,medium,low,medium,medium,low,low,low,high,7
354,low,high,high,medium,medium,medium,high,medium,high,high,low,6
355,high,low,high,high,high,high,high,high,low,low,low,6
356,high,low,high,high,high,high,high,high,low,low,low,6
357,low,high,medium,low,high,low,high,medium,medium,high,low,6
358,high,low,high,low,high,low,medium,medium,low,low,medium,6
359,medium,medium,medium,medium,medium,high,high,medium,medium,high,medium,6
360,low,medium,medium,high,medium,high,high,high,high,medium,medium,6
361,medium,high,low,low,high,low,low,medium,medium,low,low,5
362,medium,low,medium,medium,high,medium,medium,medium,high,low,low,6
363,high,low,high,high,high,high,high,high,low,low,low,6
364,medium,low,high,low,low,low,low,low,high,low,high,7
365,low,medium,medium,medium,low,medium,low,low,high,high,high,7
366,low,low,low,low,high,medium,medium,low,high,high,medium,6
367,medium,high,low,low,high,medium,medium,medium,low,medium,low,6
368,high,medium,high,low,high,medium,high,medium,medium,high,medium,6
369,medium,high,medium,high,medium,low,low,medium,medium,low,high,5
370,medium,high,low,low,high,medium,medium,medium,low,medium,low,6
371,high,medium,high,low,high,medium,high,medium,medium,high,medium,6
372,medium,high,low,low,medium,low,high,medium,high,high,medium,5
373,high,medium,low,medium,medium,medium,medium,medium,low,medium,low,6
374,low,high,low,low,low,low,low,low,high,low,high,7
375,low,high,low,low,low,low,low,low,high,low,high,7
376,low,high,low,low,low,low,medium,low,high,medium,medium,7
377,high,low,high,low,medium,low,low,low,medium,medium,medium,7
378,low,high,high,medium,high,low,medium,medium,medium,high,medium,6
379,low,high,low,low,low,low,medium,low,high,medium,medium,7
380,high,low,high,low,medium,low,low,low,medium,medium,medium,7
381,high,medium,low,high,medium,high,high,high,low,medium,low,6
382,high,high,low,high,high,low,high,high,low,high,low,6
383,high,medium,low,medium,medium,medium,medium,medium,low,medium,low,6
384,low,high,high,medium,low,low,medium,low,high,low,high,7
385,low,high,low,low,low,low,low,low,high,low,high,7
386,low,low,high,low,low,low,low,low,high,low,medium,7
387,low,high,medium,medium,medium,high,high,medium,low,high,medium,5
388,medium,low,medium,medium,medium,medium,medium,medium,high,medium,low,6
389,medium,medium,high,high,low,high,high,high,medium,high,low,7
390,medium,medium,high,high,low,high,high,high,medium,high,low,7
391,low,high,medium,low,low,low,low,low,low,medium,medium,5
392,low,high,low,high,low,low,medium,high,high,medium,medium,6
393,high,medium,high,low,low,low,low,low,low,high,high,6
394,medium,high,high,high,medium,high,high,high,medium,medium,low,5
395,medium,medium,low,low,medium,high,high,low,medium,low,medium,5
396,high,medium,high,low,low,medium,low,low,low,low,high,5
397,low,low,high,low,low,medium,low,low,high,medium,high,6
398,low,medium,low,high,medium,high,high,high,high,medium,low,5
399,low,low,high,medium,low,medium,low,low,high,low,high,6
400,low,low,high,low,low,medium,low,low,high,medium,high,6
401,medium,high,high,high,medium,high,high,high,medium,medium,low,5
402,low,high,low,low,high,low,low,medium,medium,medium,low,5
403,medium,medium,medium,high,medium,high,high,high,low,high,low,5
404,medium,low,medium,medium,low,medium,high,low,medium,high,high,6
405,medium,medium,low,low,medium,high,high,low,medium,low,medium,5
406,low,medium,medium,medium,low,medium,low,low,high,low,high,7
407,medium,high,low,low,high,low,medium,medium,medium,medium,low,5
408,low,low,high,low,medium,low,low,low,high,high,medium,6
409,high,medium,high,low,low,medium,low,low,low,low,high,5
410,high,medium,high,high,low,high,medium,high,low,medium,low,6
411,high,medium,medium,high,medium,medium,medium,high,high,high,low,6
412,high,low,high,low,low,medium,low,low,medium,medium,medium,5
413,high,low,high,low,low,medium,low,low,medium,medium,medium,5
414,high,medium,high,high,low,high,medium,high,low,medium,low,6
415,high,medium,medium,high,medium,medium,medium,high,high,high,low,6
416,high,low,low,low,medium,low,low,medium,medium,low,medium,6
417,medium,medium,low,medium,medium,high,high,high,low,medium,low,5
418,high,low,low,low,medium,low,low,medium,medium,low,medium,6
419,high,high,low,low,high,medium,medium,medium,high,high,medium,6
420,medium,low,medium,medium,low,medium,medium,low,medium,low,high,7
421,medium,low,low,high,medium,medium,high,high,high,high,medium,6
422,medium,low,low,high,medium,medium,high,high,high,high,medium,6
423,medium,low,low,high,medium,medium,high,high,high,high,medium,6
424,medium,low,high,high,medium,high,high,high,high,medium,medium,7
425,medium,low,low,high,medium,medium,high,high,high,high,medium,6
426,medium,low,low,high,medium,medium,high,high,high,high,medium,6
427,medium,medium,high,high,high,high,high,high,low,medium,low,5
428,high,low,low,low,high,low,low,medium,low,medium,low,5
429,medium,high,high,high,high,high,high,high,low,medium,low,5
430,medium,medium,high,high,high,high,high,high,low,medium,low,5
431,low,high,low,low,medium,low,low,medium,medium,low,medium,5
432,high,low,medium,low,medium,high,high,medium,medium,high,medium,7
433,high,high,low,low,high,low,medium,medium,low,high,low,4
434,medium,low,medium,medium,low,medium,low,low,high,medium,high,8
435,medium,low,high,medium,low,low,low,low,high,medium,high,7
436,low,medium,medium,medium,medium,low,high,medium,high,high,medium,5
437,medium,low,medium,low,low,high,high,low,high,high,high,8
438,high,low,medium,low,medium,high,high,medium,medium,high,medium,7
439,low,high,low,low,high,low,low,medium,high,high,low,5
440,medium,low,high,low,low,low,low,low,high,high,high,7
441,low,high,low,medium,low,low,medium,medium,high,high,medium,6
442,low,medium,low,low,low,high,medium,low,high,high,high,8
443,medium,high,high,high,medium,high,high,high,high,high,low,6
444,medium,medium,medium,high,low,medium,medium,high,medium,low,medium,6
445,medium,high,medium,high,low,low,low,medium,medium,low,high,3
446,low,medium,low,medium,high,medium,high,low,high,low,high,5
447,low,high,low,high,medium,low,low,high,high,high,medium,6
448,low,high,low,high,medium,low,low,high,high,high,medium,6
449,low,medium,medium,low,high,medium,medium,medium,high,high,medium,7
450,high,high,low,high,high,low,high,high,low,high,low,5
451,low,low,low,low,low,medium,medium,low,medium,medium,medium,5
452,low,high,low,medium,medium,low,high,medium,high,medium,medium,7
453,low,medium,low,low,medium,medium,low,low,high,medium,medium,7
454,low,medium,medium,low,high,medium,medium,medium,high,high,medium,7
455,low,high,low,high,medium,low,low,high,high,high,medium,6
456,low,low,medium,low,low,low,low,low,high,low,high,7
457,medium,low,low,high,high,low,low,high,low,medium,low,5
458,low,high,medium,low,high,medium,high,low,high,high,medium,6
459,low,high,medium,high,high,high,high,high,high,medium,low,5
460,medium,low,low,high,high,low,low,high,low,medium,low,5
461,medium,medium,medium,high,medium,medium,high,high,medium,medium,low,5
462,low,medium,low,high,medium,high,high,high,high,low,low,5
463,medium,high,low,low,medium,low,low,medium,medium,low,low,6
464,high,high,high,high,medium,high,high,high,medium,medium,low,5
465,low,low,high,high,high,medium,medium,high,low,medium,low,5
